date,transaction_id,user_id,sku,product_name,size,color,amount,region
2024-10-02,TXN00001102,USER000805,LM-SPF-002,SPF 50 Face Stick,50ml,Citrus Energy,28,EU
2024-10-02,TXN00001147,USER000838,LM-SOK-006,Muscle Soak Salts,200ml,Unscented,32,EU
2024-10-02,TXN00001241,USER000909,LM-MAG-004,Magnesium Recovery Balm,200ml,Eucalyptus Fresh,42,EU
2024-10-02,TXN00001409,USER001031,LM-JRN-011,Movement Journal,200ml,Citrus Energy,24,EU
2024-10-02,TXN00001456,USER001061,LM-SPF-002,SPF 50 Face Stick,200ml,Eucalyptus Fresh,28,EU
2024-10-02,TXN00001494,USER001090,LM-CAN-010,Ritual Grounding Candle,100ml,Citrus Energy,38,NA
2024-10-02,TXN00001568,USER001143,LM-DEO-001,Clean Deodorant Stick,Travel Size,Lavender Calm,24,NA
2024-10-02,TXN00001650,USER001204,LM-CLO-003,Cleansing Body Cloths,50ml,Citrus Energy,18,NA
2024-10-02,TXN00001765,USER001294,LM-DEO-001,Clean Deodorant Stick,50ml,Eucalyptus Fresh,24,EU
2024-10-02,TXN00002086,USER001526,LM-SPF-002,SPF 50 Face Stick,50ml,Citrus Energy,28,EU
2024-10-02,TXN00002193,USER001604,LM-OIL-008,Warming Body Oil,Standard,Citrus Energy,48,EU
2024-10-02,TXN00002238,USER001638,LM-MAG-004,Magnesium Recovery Balm,100ml,Citrus Energy,42,NA
2024-10-02,TXN00002333,USER001713,LM-MAG-004,Magnesium Recovery Balm,Travel Size,Unscented,42,NA
2024-10-02,TXN00002511,USER001837,LM-SOK-006,Muscle Soak Salts,200ml,Unscented,32,EU
2024-10-02,TXN00002565,USER001871,LM-SPF-002,SPF 50 Face Stick,50ml,Lavender Calm,28,NA
2024-10-02,TXN00002603,USER001900,LM-JRN-011,Movement Journal,50ml,Rose Comfort,24,EU
2024-10-02,TXN00002779,USER002020,LM-SOK-006,Muscle Soak Salts,100ml,Unscented,32,NA
2024-10-02,TXN00003258,USER002354,LM-OIL-008,Warming Body Oil,50ml,Unscented,48,EU
2024-10-03,TXN00000059,USER000042,LM-WSH-007,Adaptogen Body Wash,Travel Size,Eucalyptus Fresh,36,NA
2024-10-03,TXN00000264,USER000201,LM-KIT-009,PMS Comfort Kit,100ml,Lavender Calm,65,NA
2024-10-03,TXN00000797,USER000582,LM-MAG-004,Magnesium Recovery Balm,Travel Size,Unscented,42,NA
2024-10-03,TXN00000895,USER000651,LM-SPF-002,SPF 50 Face Stick,100ml,Citrus Energy,28,NA
2024-10-03,TXN00000941,USER000685,LM-WSH-007,Adaptogen Body Wash,200ml,Unscented,36,EU
2024-10-03,TXN00001220,USER000891,LM-MST-005,Cooling Mist Spray,200ml,Unscented,26,EU
2024-10-03,TXN00001251,USER000916,LM-SPF-002,SPF 50 Face Stick,200ml,Eucalyptus Fresh,28,EU
2024-10-03,TXN00001627,USER001187,LM-KIT-009,PMS Comfort Kit,Travel Size,Eucalyptus Fresh,65,EU
2024-10-03,TXN00001745,USER001280,LM-ROL-012,Aromatherapy Roller,200ml,Lavender Calm,22,NA
2024-10-03,TXN00001812,USER001329,LM-CLO-003,Cleansing Body Cloths,Travel Size,Citrus Energy,18,NA
2024-10-03,TXN00002099,USER001536,LM-ROL-012,Aromatherapy Roller,Standard,Eucalyptus Fresh,22,NA
2024-10-03,TXN00002724,USER001984,LM-SPF-002,SPF 50 Face Stick,Travel Size,Citrus Energy,28,NA
2024-10-03,TXN00002732,USER001991,LM-DEO-001,Clean Deodorant Stick,Standard,Lavender Calm,24,NA
2024-10-03,TXN00002783,USER002023,LM-MAG-004,Magnesium Recovery Balm,Travel Size,Unscented,42,EU
2024-10-03,TXN00002911,USER002106,LM-OIL-008,Warming Body Oil,Travel Size,Rose Comfort,48,EU
2024-10-03,TXN00002926,USER002118,LM-CAN-010,Ritual Grounding Candle,Travel Size,Lavender Calm,38,EU
2024-10-03,TXN00003003,USER002173,LM-WSH-007,Adaptogen Body Wash,200ml,Lavender Calm,36,NA
2024-10-03,TXN00003084,USER002233,LM-CAN-010,Ritual Grounding Candle,Standard,Rose Comfort,38,EU
2024-10-03,TXN00003136,USER002269,LM-SOK-006,Muscle Soak Salts,Travel Size,Rose Comfort,32,EU
2024-10-03,TXN00003413,USER002469,LM-MAG-004,Magnesium Recovery Balm,200ml,Unscented,42,NA
2024-10-03,TXN00003437,USER002485,LM-ROL-012,Aromatherapy Roller,200ml,Unscented,22,EU
2024-10-03,TXN00003449,USER002494,LM-OIL-008,Warming Body Oil,Standard,Citrus Energy,48,NA
2024-10-04,TXN00000087,USER000065,LM-KIT-009,PMS Comfort Kit,Travel Size,Citrus Energy,65,NA
2024-10-04,TXN00000374,USER000278,LM-WSH-007,Adaptogen Body Wash,Travel Size,Rose Comfort,36,EU
2024-10-04,TXN00000559,USER000417,LM-SPF-002,SPF 50 Face Stick,Standard,Rose Comfort,28,NA
2024-10-04,TXN00000647,USER000473,LM-SPF-002,SPF 50 Face Stick,200ml,Unscented,28,NA
2024-10-04,TXN00001237,USER000906,LM-OIL-008,Warming Body Oil,100ml,Citrus Energy,48,EU
2024-10-04,TXN00001444,USER001054,LM-MST-005,Cooling Mist Spray,Standard,Citrus Energy,26,EU
2024-10-04,TXN00001688,USER001232,LM-MST-005,Cooling Mist Spray,100ml,Lavender Calm,26,EU
2024-10-04,TXN00001740,USER001276,LM-ROL-012,Aromatherapy Roller,100ml,Unscented,22,EU
2024-10-04,TXN00001757,USER001288,LM-ROL-012,Aromatherapy Roller,100ml,Rose Comfort,22,EU
2024-10-04,TXN00001760,USER001291,LM-MST-005,Cooling Mist Spray,50ml,Citrus Energy,26,NA
2024-10-04,TXN00002054,USER001501,LM-SPF-002,SPF 50 Face Stick,Standard,Citrus Energy,28,NA
2024-10-04,TXN00002152,USER001571,LM-MAG-004,Magnesium Recovery Balm,50ml,Unscented,42,EU
2024-10-04,TXN00002376,USER001744,LM-MST-005,Cooling Mist Spray,Travel Size,Rose Comfort,26,NA
2024-10-04,TXN00002458,USER001801,LM-DEO-001,Clean Deodorant Stick,50ml,Unscented,24,NA
2024-10-04,TXN00002532,USER001849,LM-OIL-008,Warming Body Oil,50ml,Rose Comfort,48,NA
2024-10-04,TXN00002594,USER001893,LM-MST-005,Cooling Mist Spray,Travel Size,Rose Comfort,26,EU
2024-10-04,TXN00002616,USER001911,LM-SOK-006,Muscle Soak Salts,Standard,Eucalyptus Fresh,32,EU
2024-10-04,TXN00002855,USER002067,LM-KIT-009,PMS Comfort Kit,200ml,Eucalyptus Fresh,65,NA
2024-10-04,TXN00002915,USER002110,LM-JRN-011,Movement Journal,50ml,Citrus Energy,24,EU
2024-10-04,TXN00002971,USER002148,LM-WSH-007,Adaptogen Body Wash,Travel Size,Unscented,36,NA
2024-10-04,TXN00002986,USER002160,LM-MST-005,Cooling Mist Spray,200ml,Lavender Calm,26,NA
2024-10-04,TXN00003357,USER002423,LM-SPF-002,SPF 50 Face Stick,50ml,Eucalyptus Fresh,28,EU
2024-10-04,TXN00003379,USER002438,LM-KIT-009,PMS Comfort Kit,Travel Size,Eucalyptus Fresh,65,NA
2024-10-04,TXN00003452,USER002497,LM-MST-005,Cooling Mist Spray,50ml,Eucalyptus Fresh,26,NA
2024-10-05,TXN00000448,USER000336,LM-WSH-007,Adaptogen Body Wash,100ml,Unscented,36,EU
2024-10-05,TXN00000478,USER000357,LM-CAN-010,Ritual Grounding Candle,100ml,Unscented,38,NA
2024-10-05,TXN00000499,USER000372,LM-JRN-011,Movement Journal,200ml,Rose Comfort,24,NA
2024-10-05,TXN00000669,USER000491,LM-DEO-001,Clean Deodorant Stick,100ml,Citrus Energy,24,NA
2024-10-05,TXN00000738,USER000538,LM-SPF-002,SPF 50 Face Stick,50ml,Citrus Energy,28,EU
2024-10-05,TXN00001072,USER000784,LM-DEO-001,Clean Deodorant Stick,Standard,Lavender Calm,24,EU
2024-10-05,TXN00001086,USER000794,LM-KIT-009,PMS Comfort Kit,100ml,Citrus Energy,65,EU
2024-10-05,TXN00001136,USER000830,LM-WSH-007,Adaptogen Body Wash,200ml,Lavender Calm,36,EU
2024-10-05,TXN00001393,USER001020,LM-SPF-002,SPF 50 Face Stick,100ml,Citrus Energy,28,EU
2024-10-05,TXN00001696,USER001238,LM-ROL-012,Aromatherapy Roller,50ml,Rose Comfort,22,NA
2024-10-05,TXN00001718,USER001257,LM-SPF-002,SPF 50 Face Stick,50ml,Lavender Calm,28,EU
2024-10-05,TXN00001783,USER001306,LM-OIL-008,Warming Body Oil,Travel Size,Unscented,48,NA
2024-10-05,TXN00001787,USER001310,LM-CLO-003,Cleansing Body Cloths,Travel Size,Lavender Calm,18,NA
2024-10-05,TXN00002006,USER001466,LM-JRN-011,Movement Journal,100ml,Unscented,24,EU
2024-10-05,TXN00002111,USER001544,LM-DEO-001,Clean Deodorant Stick,Standard,Eucalyptus Fresh,24,NA
2024-10-05,TXN00002313,USER001697,LM-DEO-001,Clean Deodorant Stick,Travel Size,Eucalyptus Fresh,24,EU
2024-10-05,TXN00002348,USER001724,LM-CLO-003,Cleansing Body Cloths,Standard,Citrus Energy,18,NA
2024-10-05,TXN00002447,USER001792,LM-OIL-008,Warming Body Oil,Standard,Eucalyptus Fresh,48,EU
2024-10-05,TXN00002839,USER002058,LM-SPF-002,SPF 50 Face Stick,200ml,Citrus Energy,28,EU
2024-10-05,TXN00002961,USER002141,LM-CAN-010,Ritual Grounding Candle,50ml,Lavender Calm,38,NA
2024-10-05,TXN00003364,USER002429,LM-SPF-002,SPF 50 Face Stick,100ml,Eucalyptus Fresh,28,EU
2024-10-06,TXN00000131,USER000100,LM-SPF-002,SPF 50 Face Stick,200ml,Citrus Energy,28,EU
2024-10-06,TXN00000348,USER000260,LM-DEO-001,Clean Deodorant Stick,100ml,Unscented,24,EU
2024-10-06,TXN00000442,USER000330,LM-DEO-001,Clean Deodorant Stick,Travel Size,Citrus Energy,24,NA
2024-10-06,TXN00000470,USER000353,LM-MAG-004,Magnesium Recovery Balm,200ml,Citrus Energy,42,NA
2024-10-06,TXN00000585,USER000434,LM-DEO-001,Clean Deodorant Stick,100ml,Unscented,24,NA
2024-10-06,TXN00000762,USER000557,LM-WSH-007,Adaptogen Body Wash,Standard,Lavender Calm,36,EU
2024-10-06,TXN00000883,USER000641,LM-WSH-007,Adaptogen Body Wash,Travel Size,Lavender Calm,36,EU
2024-10-06,TXN00000922,USER000669,LM-MST-005,Cooling Mist Spray,Standard,Rose Comfort,26,EU
2024-10-06,TXN00000937,USER000681,LM-ROL-012,Aromatherapy Roller,100ml,Citrus Energy,22,NA
2024-10-06,TXN00001179,USER000863,LM-MAG-004,Magnesium Recovery Balm,100ml,Unscented,42,EU
2024-10-06,TXN00001250,USER000915,LM-KIT-009,PMS Comfort Kit,Standard,Lavender Calm,65,EU
2024-10-06,TXN00001575,USER001147,LM-MAG-004,Magnesium Recovery Balm,Travel Size,Rose Comfort,42,NA
2024-10-06,TXN00001762,USER001293,LM-KIT-009,PMS Comfort Kit,Travel Size,Citrus Energy,65,NA
2024-10-06,TXN00002275,USER001664,LM-CLO-003,Cleansing Body Cloths,Standard,Eucalyptus Fresh,18,NA
2024-10-06,TXN00002289,USER001676,LM-DEO-001,Clean Deodorant Stick,Travel Size,Citrus Energy,24,NA
2024-10-06,TXN00002485,USER001819,LM-CLO-003,Cleansing Body Cloths,50ml,Lavender Calm,18,EU
2024-10-06,TXN00002542,USER001856,LM-CAN-010,Ritual Grounding Candle,Standard,Lavender Calm,38,NA
2024-10-06,TXN00002582,USER001884,LM-SPF-002,SPF 50 Face Stick,Standard,Eucalyptus Fresh,28,EU
2024-10-06,TXN00002618,USER001913,LM-OIL-008,Warming Body Oil,200ml,Citrus Energy,48,NA
2024-10-06,TXN00002810,USER002038,LM-KIT-009,PMS Comfort Kit,Travel Size,Lavender Calm,65,EU
2024-10-06,TXN00003170,USER002290,LM-KIT-009,PMS Comfort Kit,Standard,Eucalyptus Fresh,65,NA
2024-10-06,TXN00003298,USER002378,LM-DEO-001,Clean Deodorant Stick,100ml,Citrus Energy,24,EU
2024-10-07,TXN00000011,USER000006,LM-KIT-009,PMS Comfort Kit,50ml,Citrus Energy,65,EU
2024-10-07,TXN00000124,USER000094,LM-DEO-001,Clean Deodorant Stick,50ml,Citrus Energy,24,EU
2024-10-07,TXN00000146,USER000109,LM-ROL-012,Aromatherapy Roller,200ml,Unscented,22,NA
2024-10-07,TXN00000186,USER000140,LM-MST-005,Cooling Mist Spray,Standard,Eucalyptus Fresh,26,EU
2024-10-07,TXN00000369,USER000275,LM-DEO-001,Clean Deodorant Stick,Travel Size,Eucalyptus Fresh,24,NA
2024-10-07,TXN00000712,USER000523,LM-WSH-007,Adaptogen Body Wash,200ml,Citrus Energy,36,EU
2024-10-07,TXN00000842,USER000612,LM-OIL-008,Warming Body Oil,Standard,Rose Comfort,48,NA
2024-10-07,TXN00000973,USER000709,LM-KIT-009,PMS Comfort Kit,200ml,Eucalyptus Fresh,65,NA
2024-10-07,TXN00001008,USER000737,LM-MAG-004,Magnesium Recovery Balm,Standard,Lavender Calm,42,NA
2024-10-07,TXN00001150,USER000839,LM-WSH-007,Adaptogen Body Wash,100ml,Unscented,36,NA
2024-10-07,TXN00001159,USER000846,LM-MST-005,Cooling Mist Spray,200ml,Unscented,26,EU
2024-10-07,TXN00001555,USER001133,LM-KIT-009,PMS Comfort Kit,100ml,Lavender Calm,65,NA
2024-10-07,TXN00001881,USER001378,LM-SOK-006,Muscle Soak Salts,Standard,Lavender Calm,32,EU
2024-10-07,TXN00001912,USER001401,LM-WSH-007,Adaptogen Body Wash,Standard,Citrus Energy,36,NA
2024-10-07,TXN00002098,USER001536,LM-OIL-008,Warming Body Oil,200ml,Citrus Energy,48,NA
2024-10-07,TXN00002144,USER001566,LM-CAN-010,Ritual Grounding Candle,Standard,Unscented,38,EU
2024-10-07,TXN00002312,USER001696,LM-MST-005,Cooling Mist Spray,50ml,Rose Comfort,26,EU
2024-10-07,TXN00002480,USER001815,LM-CLO-003,Cleansing Body Cloths,50ml,Unscented,18,EU
2024-10-07,TXN00002488,USER001821,LM-JRN-011,Movement Journal,Standard,Rose Comfort,24,EU
2024-10-07,TXN00002619,USER001913,LM-CAN-010,Ritual Grounding Candle,Standard,Eucalyptus Fresh,38,NA
2024-10-07,TXN00002695,USER001965,LM-WSH-007,Adaptogen Body Wash,200ml,Lavender Calm,36,NA
2024-10-07,TXN00002819,USER002045,LM-CLO-003,Cleansing Body Cloths,200ml,Unscented,18,EU
2024-10-07,TXN00002866,USER002074,LM-CAN-010,Ritual Grounding Candle,Travel Size,Unscented,38,NA
2024-10-07,TXN00002984,USER002159,LM-CAN-010,Ritual Grounding Candle,Standard,Rose Comfort,38,NA
2024-10-07,TXN00003167,USER002289,LM-JRN-011,Movement Journal,100ml,Eucalyptus Fresh,24,NA
2024-10-07,TXN00003243,USER002342,LM-SPF-002,SPF 50 Face Stick,50ml,Eucalyptus Fresh,28,NA
2024-10-07,TXN00003275,USER002366,LM-MAG-004,Magnesium Recovery Balm,Standard,Eucalyptus Fresh,42,NA
2024-10-08,TXN00000191,USER000144,LM-MAG-004,Magnesium Recovery Balm,200ml,Citrus Energy,42,EU
2024-10-08,TXN00000231,USER000173,LM-KIT-009,PMS Comfort Kit,50ml,Citrus Energy,65,EU
2024-10-08,TXN00000242,USER000181,LM-JRN-011,Movement Journal,Standard,Lavender Calm,24,NA
2024-10-08,TXN00000460,USER000344,LM-JRN-011,Movement Journal,Travel Size,Lavender Calm,24,EU
2024-10-08,TXN00000609,USER000449,LM-DEO-001,Clean Deodorant Stick,100ml,Citrus Energy,24,NA
2024-10-08,TXN00000786,USER000574,LM-CLO-003,Cleansing Body Cloths,100ml,Rose Comfort,18,NA
2024-10-08,TXN00000799,USER000583,LM-CLO-003,Cleansing Body Cloths,100ml,Rose Comfort,18,NA
2024-10-08,TXN00000913,USER000663,LM-OIL-008,Warming Body Oil,50ml,Citrus Energy,48,NA
2024-10-08,TXN00001060,USER000776,LM-OIL-008,Warming Body Oil,200ml,Lavender Calm,48,EU
2024-10-08,TXN00001223,USER000894,LM-OIL-008,Warming Body Oil,Standard,Rose Comfort,48,EU
2024-10-08,TXN00001356,USER000991,LM-OIL-008,Warming Body Oil,100ml,Citrus Energy,48,NA
2024-10-08,TXN00001414,USER001035,LM-KIT-009,PMS Comfort Kit,50ml,Lavender Calm,65,NA
2024-10-08,TXN00001658,USER001209,LM-MST-005,Cooling Mist Spray,Travel Size,Rose Comfort,26,NA
2024-10-08,TXN00001921,USER001408,LM-OIL-008,Warming Body Oil,50ml,Eucalyptus Fresh,48,NA
2024-10-08,TXN00002046,USER001495,LM-OIL-008,Warming Body Oil,200ml,Unscented,48,EU
2024-10-08,TXN00002068,USER001512,LM-SPF-002,SPF 50 Face Stick,50ml,Unscented,28,EU
2024-10-08,TXN00002147,USER001568,LM-JRN-011,Movement Journal,Standard,Citrus Energy,24,NA
2024-10-08,TXN00003034,USER002198,LM-CAN-010,Ritual Grounding Candle,Travel Size,Lavender Calm,38,NA
2024-10-08,TXN00003236,USER002336,LM-WSH-007,Adaptogen Body Wash,100ml,Citrus Energy,36,NA
2024-10-08,TXN00003326,USER002402,LM-CAN-010,Ritual Grounding Candle,50ml,Lavender Calm,38,EU
2024-10-08,TXN00003411,USER002467,LM-JRN-011,Movement Journal,200ml,Lavender Calm,24,EU
2024-10-09,TXN00000009,USER000005,LM-OIL-008,Warming Body Oil,50ml,Eucalyptus Fresh,48,EU
2024-10-09,TXN00000196,USER000148,LM-WSH-007,Adaptogen Body Wash,100ml,Citrus Energy,36,NA
2024-10-09,TXN00000266,USER000202,LM-MAG-004,Magnesium Recovery Balm,100ml,Eucalyptus Fresh,42,NA
2024-10-09,TXN00000351,USER000261,LM-WSH-007,Adaptogen Body Wash,200ml,Citrus Energy,36,NA
2024-10-09,TXN00000487,USER000364,LM-SPF-002,SPF 50 Face Stick,200ml,Lavender Calm,28,EU
2024-10-09,TXN00000764,USER000558,LM-KIT-009,PMS Comfort Kit,200ml,Eucalyptus Fresh,65,EU
2024-10-09,TXN00000795,USER000581,LM-ROL-012,Aromatherapy Roller,200ml,Lavender Calm,22,NA
2024-10-09,TXN00000954,USER000696,LM-WSH-007,Adaptogen Body Wash,Standard,Eucalyptus Fresh,36,EU
2024-10-09,TXN00001056,USER000773,LM-WSH-007,Adaptogen Body Wash,Standard,Citrus Energy,36,NA
2024-10-09,TXN00001134,USER000828,LM-KIT-009,PMS Comfort Kit,50ml,Eucalyptus Fresh,65,EU
2024-10-09,TXN00001235,USER000904,LM-WSH-007,Adaptogen Body Wash,Travel Size,Eucalyptus Fresh,36,NA
2024-10-09,TXN00001321,USER000967,LM-CLO-003,Cleansing Body Cloths,50ml,Rose Comfort,18,NA
2024-10-09,TXN00001345,USER000984,LM-CAN-010,Ritual Grounding Candle,50ml,Rose Comfort,38,EU
2024-10-09,TXN00001413,USER001034,LM-ROL-012,Aromatherapy Roller,100ml,Citrus Energy,22,EU
2024-10-09,TXN00001489,USER001086,LM-SOK-006,Muscle Soak Salts,100ml,Citrus Energy,32,EU
2024-10-09,TXN00001600,USER001167,LM-KIT-009,PMS Comfort Kit,100ml,Lavender Calm,65,EU
2024-10-09,TXN00001683,USER001227,LM-CAN-010,Ritual Grounding Candle,100ml,Lavender Calm,38,EU
2024-10-09,TXN00001861,USER001364,LM-ROL-012,Aromatherapy Roller,50ml,Citrus Energy,22,EU
2024-10-09,TXN00002034,USER001487,LM-MAG-004,Magnesium Recovery Balm,Standard,Lavender Calm,42,EU
2024-10-09,TXN00002157,USER001576,LM-OIL-008,Warming Body Oil,Standard,Unscented,48,EU
2024-10-09,TXN00002534,USER001850,LM-KIT-009,PMS Comfort Kit,Standard,Lavender Calm,65,NA
2024-10-09,TXN00002677,USER001954,LM-CLO-003,Cleansing Body Cloths,Standard,Lavender Calm,18,NA
2024-10-09,TXN00002854,USER002066,LM-KIT-009,PMS Comfort Kit,200ml,Rose Comfort,65,NA
2024-10-09,TXN00002862,USER002071,LM-SPF-002,SPF 50 Face Stick,200ml,Lavender Calm,28,EU
2024-10-09,TXN00002954,USER002136,LM-CAN-010,Ritual Grounding Candle,Travel Size,Unscented,38,EU
2024-10-09,TXN00002993,USER002165,LM-OIL-008,Warming Body Oil,100ml,Citrus Energy,48,NA
2024-10-09,TXN00003017,USER002185,LM-JRN-011,Movement Journal,100ml,Lavender Calm,24,EU
2024-10-09,TXN00003066,USER002220,LM-MST-005,Cooling Mist Spray,Travel Size,Unscented,26,NA
2024-10-09,TXN00003276,USER002367,LM-OIL-008,Warming Body Oil,200ml,Rose Comfort,48,NA
2024-10-10,TXN00000113,USER000084,LM-KIT-009,PMS Comfort Kit,50ml,Eucalyptus Fresh,65,EU
2024-10-10,TXN00000338,USER000253,LM-CLO-003,Cleansing Body Cloths,100ml,Lavender Calm,18,NA
2024-10-10,TXN00000556,USER000414,LM-CLO-003,Cleansing Body Cloths,Standard,Unscented,18,NA
2024-10-10,TXN00000843,USER000613,LM-WSH-007,Adaptogen Body Wash,50ml,Lavender Calm,36,EU
2024-10-10,TXN00001023,USER000748,LM-DEO-001,Clean Deodorant Stick,100ml,Citrus Energy,24,EU
2024-10-10,TXN00001029,USER000753,LM-DEO-001,Clean Deodorant Stick,Standard,Unscented,24,NA
2024-10-10,TXN00001059,USER000775,LM-CLO-003,Cleansing Body Cloths,200ml,Rose Comfort,18,EU
2024-10-10,TXN00001154,USER000842,LM-MAG-004,Magnesium Recovery Balm,Travel Size,Unscented,42,EU
2024-10-10,TXN00001370,USER001003,LM-KIT-009,PMS Comfort Kit,100ml,Citrus Energy,65,NA
2024-10-10,TXN00001384,USER001015,LM-DEO-001,Clean Deodorant Stick,Travel Size,Rose Comfort,24,NA
2024-10-10,TXN00001430,USER001045,LM-KIT-009,PMS Comfort Kit,200ml,Lavender Calm,65,NA
2024-10-10,TXN00001473,USER001073,LM-SOK-006,Muscle Soak Salts,200ml,Citrus Energy,32,EU
2024-10-10,TXN00001541,USER001124,LM-OIL-008,Warming Body Oil,Travel Size,Eucalyptus Fresh,48,NA
2024-10-10,TXN00001684,USER001228,LM-KIT-009,PMS Comfort Kit,Travel Size,Rose Comfort,65,NA
2024-10-10,TXN00001841,USER001351,LM-KIT-009,PMS Comfort Kit,Standard,Lavender Calm,65,EU
2024-10-10,TXN00001890,USER001385,LM-MST-005,Cooling Mist Spray,50ml,Rose Comfort,26,NA
2024-10-10,TXN00001902,USER001394,LM-KIT-009,PMS Comfort Kit,200ml,Citrus Energy,65,EU
2024-10-10,TXN00002118,USER001550,LM-OIL-008,Warming Body Oil,Travel Size,Citrus Energy,48,EU
2024-10-10,TXN00002598,USER001895,LM-ROL-012,Aromatherapy Roller,Travel Size,Citrus Energy,22,NA
2024-10-10,TXN00002680,USER001955,LM-OIL-008,Warming Body Oil,50ml,Unscented,48,EU
2024-10-10,TXN00002720,USER001983,LM-JRN-011,Movement Journal,Travel Size,Citrus Energy,24,EU
2024-10-10,TXN00002824,USER002048,LM-WSH-007,Adaptogen Body Wash,Travel Size,Eucalyptus Fresh,36,NA
2024-10-10,TXN00002832,USER002054,LM-JRN-011,Movement Journal,200ml,Lavender Calm,24,EU
2024-10-10,TXN00002834,USER002055,LM-JRN-011,Movement Journal,200ml,Citrus Energy,24,EU
2024-10-10,TXN00002850,USER002064,LM-MST-005,Cooling Mist Spray,200ml,Unscented,26,EU
2024-10-10,TXN00002858,USER002069,LM-CLO-003,Cleansing Body Cloths,100ml,Rose Comfort,18,NA
2024-10-10,TXN00003143,USER002273,LM-MST-005,Cooling Mist Spray,Standard,Eucalyptus Fresh,26,EU
2024-10-10,TXN00003163,USER002286,LM-SOK-006,Muscle Soak Salts,50ml,Eucalyptus Fresh,32,NA
2024-10-10,TXN00003171,USER002291,LM-CAN-010,Ritual Grounding Candle,Standard,Eucalyptus Fresh,38,NA
2024-10-10,TXN00003305,USER002384,LM-MST-005,Cooling Mist Spray,50ml,Unscented,26,EU
2024-10-10,TXN00003330,USER002405,LM-SOK-006,Muscle Soak Salts,Travel Size,Lavender Calm,32,NA
2024-10-10,TXN00003385,USER002443,LM-CLO-003,Cleansing Body Cloths,100ml,Citrus Energy,18,EU
2024-10-10,TXN00003447,USER002492,LM-DEO-001,Clean Deodorant Stick,100ml,Rose Comfort,24,EU
2024-10-11,TXN00000189,USER000142,LM-ROL-012,Aromatherapy Roller,100ml,Rose Comfort,22,EU
2024-10-11,TXN00000305,USER000231,LM-ROL-012,Aromatherapy Roller,200ml,Unscented,22,EU
2024-10-11,TXN00000315,USER000236,LM-MAG-004,Magnesium Recovery Balm,Standard,Unscented,42,EU
2024-10-11,TXN00000322,USER000242,LM-KIT-009,PMS Comfort Kit,50ml,Citrus Energy,65,EU
2024-10-11,TXN00000408,USER000303,LM-JRN-011,Movement Journal,100ml,Eucalyptus Fresh,24,EU
2024-10-11,TXN00001151,USER000840,LM-MAG-004,Magnesium Recovery Balm,Travel Size,Unscented,42,EU
2024-10-11,TXN00001330,USER000973,LM-MST-005,Cooling Mist Spray,Standard,Lavender Calm,26,EU
2024-10-11,TXN00001408,USER001030,LM-KIT-009,PMS Comfort Kit,Travel Size,Rose Comfort,65,EU
2024-10-11,TXN00001940,USER001419,LM-CLO-003,Cleansing Body Cloths,Travel Size,Rose Comfort,18,NA
2024-10-11,TXN00002026,USER001481,LM-WSH-007,Adaptogen Body Wash,Travel Size,Eucalyptus Fresh,36,NA
2024-10-11,TXN00002060,USER001506,LM-SOK-006,Muscle Soak Salts,100ml,Citrus Energy,32,EU
